sound,mfcc 1,mfcc 2,mfcc 3,mfcc 4,mfcc 5,mfcc 6,mfcc 7,mfcc 8,mfcc 9,mfcc 10,mfcc 11,mfcc 12,chroma_stft,spec_cent,spec_bw,rolloff,zcr
0,-2.7726,-3.3609,-3.555,0.5192,-0.0861,0.3746,-0.5011,0.8066,-2.1284,-2.1631,-3.9976,-3.4155,0.3272,8937.72,8846.98,20149.7,0.2886
1,-3.1216,-4.9785,-0.5692,2.0184,-0.3344,-0.7379,-0.7778,-0.2944,-0.972,-1.1506,-2.0268,-1.3544,0.4108,4316.76,6648.89,9497.94,0.066
1,-4.407,-2.672,-1.9253,-2.0574,-1.7506,-0.1209,0.2198,0.1895,0.2601,-0.057,0.1058,0.0124,0.337,3650.91,6425.65,6134.27,0.0693
1,-2.7726,-0.1953,1.8191,-1.56,-0.7004,1.5849,2.1689,1.492,2.1516,1.3587,1.8634,2.0193,0.3997,3500.32,6011.06,6154.46,0.0389
1,-2.7726,1.8013,1.581,-3.8841,-0.6885,1.6668,1.291,1.8261,1.5238,1.7542,2.1356,1.9986,0.4392,3585.01,6142.41,6871.78,0.0392
1,-2.7726,2.3004,0.8226,2.4832,2.099,2.2413,1.263,1.3134,1.3421,1.4201,1.5627,1.1525,0.4558,3446.32,6017.63,5671.31,0.0459
1,1.479,1.5295,0.8641,0.2308,0.6589,0.0285,0.8711,0.6409,1.1716,0.6396,0.8854,0.8556,0.4383,4021.87,7007.86,11381.6,0.0561
1,-0.5099,-1.865,-0.2171,0.7156,0.8779,1.1937,1.0809,0.8831,1.054,0.8023,0.8292,0.7781,0.4124,3624.28,6653.73,5964.7,0.0469
3,4.7439,5.5789,5.368,6.0544,6.4564,7.2186,7.737,9.6591,9.2748,9.3047,10.7845,8.9551,0.4189,5462.47,7878.97,19558.9,0.0656
3,6.0863,6.1328,8.0823,8.3648,8.7045,7.7139,8.6321,10.009,8.3995,7.8423,8.3493,7.8445,0.4215,5015.18,7265.68,16945.3,0.0644
3,7.3631,6.4976,6.9833,7.2106,6.5833,6.8466,7.0916,6.7929,7.3645,7.2671,7.8223,7.6451,0.403,5600.62,7823.89,19537.3,0.0515
3,7.1661,8.4493,9.5635,9.0654,8.2565,6.9608,7.2541,7.9276,7.7256,6.1612,6.619,6.417,0.4741,5389.26,7616.65,18988.7,0.0391
3,8.2741,5.9991,9.1115,8.2553,6.1101,4.7911,5.938,5.7712,7.1376,7.9287,8.3192,7.4516,0.4216,7578.31,8838.66,21686.6,0.2714
0,1.2211,-0.4269,2.3896,1.1911,2.6229,1.8375,-0.066,2.4854,1.7867,2.6997,5.4911,4.5665,0.393,11807.2,9487.7,21739.1,0.5442
0,5.7412,7.6133,6.7519,6.2499,5.1597,5.5064,5.1925,2.7906,1.3455,1.9931,2.0542,4.2231,0.4552,7405.36,8653.03,20618.0,0.1832
0,6.5938,5.5548,6.0726,5.4876,4.0411,4.1547,3.7771,4.0839,6.3478,5.978,5.899,3.5538,0.4363,8008.55,8921.84,21381.1,0.3955
0,-2.7726,-2.7272,2.541,5.8109,7.9608,5.6115,7.0771,7.704,6.6232,8.8584,6.8615,9.2936,0.5275,9664.01,9067.62,20456.5,0.3213
6,-2.7726,0.4338,6.7021,11.6443,11.8364,10.9303,10.701,10.1096,8.0609,7.0487,7.0452,5.8668,0.5364,2850.32,5490.36,4595.54,0.013
3,-2.7726,-1.2281,5.7717,8.1212,7.5362,7.0856,5.447,6.9037,6.781,3.6878,2.0421,3.7829,0.5982,5710.7,7685.36,18222.5,0.1208
3,-2.7726,2.1112,7.8791,3.37,6.8506,6.0955,5.5965,4.2912,4.7895,5.8582,2.9679,3.3158,0.4577,4698.52,6882.17,15847.1,0.0772
3,-2.7726,1.0301,3.1509,1.6787,3.4304,3.0852,2.5374,2.6452,2.8887,3.2772,2.7856,2.4144,0.3889,3941.64,6215.08,9430.2,0.0361
1,-4.1975,-4.9728,-3.6264,-2.0049,-2.416,-1.1907,-2.1591,-1.5287,-1.9687,-1.9789,-1.4059,-2.0727,0.4401,4551.6,6726.87,14081.4,0.1016
3,-2.7726,3.0522,-0.2844,1.6807,2.6984,2.5208,2.0807,2.7139,3.1327,3.3993,4.2102,1.7171,0.4395,4174.41,6450.08,12205.3,0.0222
3,-2.7726,-4.2443,5.1483,3.9862,5.7764,3.5642,4.3562,2.1706,2.9731,2.4255,3.4599,1.8868,0.3814,3757.58,5941.19,9173.14,0.0243
3,-2.7726,0.5164,1.2893,-0.2287,2.154,2.9605,2.7917,3.3335,2.9923,3.9647,3.581,5.2389,0.3823,4311.41,6334.83,13146.0,0.031
0,-2.7726,-2.7726,-5.4441,0.791,-0.0138,-3.2792,-4.0378,-1.799,-3.7192,-2.8054,-2.2534,-1.1168,0.2909,8022.09,7588.34,17901.3,0.3385
0,0.1326,3.5098,3.381,4.0021,4.4413,5.2383,6.7388,2.9323,4.3339,2.7567,2.1737,1.2034,0.3667,8929.31,9249.6,21386.5,0.2543
0,-2.3647,-3.2436,-2.9364,-2.7028,-1.9405,-0.0614,-1.3248,-5.0024,-3.0223,-1.8399,-1.015,-0.0181,0.4597,7246.03,8337.94,20719.0,0.3847
0,-2.7726,-2.6465,5.4681,1.6948,3.2417,2.3652,3.1198,1.8631,3.9002,1.2158,3.5732,2.5882,0.3203,10448.0,9062.35,20456.5,0.5129
7,5.6808,0.75,1.5277,-0.7686,0.9228,-0.0851,-0.085,0.1721,-0.9144,1.5155,0.9898,1.8439,0.434,6154.77,6676.79,17956.0,0.1471
3,3.2717,4.7425,6.3079,6.3912,5.5978,7.8354,7.5637,8.6976,6.7347,7.9411,7.5891,8.3249,0.4159,5018.77,7302.35,17295.2,0.0415
5,3.1965,-1.1242,4.4799,3.639,0.793,0.6507,4.5301,5.3857,5.7396,6.2145,5.1511,4.4157,0.3963,7887.42,8286.87,19189.7,0.2771
5,-2.7726,0.1663,-3.1636,1.1883,-0.5942,-3.0626,-0.3127,-0.2577,-0.9546,-1.4635,-1.0737,0.6265,0.3802,4350.85,6603.97,13448.8,0.0812
5,-2.7726,-1.1832,1.7572,-1.4778,-0.7017,-0.2312,0.5344,1.9165,1.2655,1.8229,1.9928,0.9062,0.3104,3558.14,6022.74,6350.95,0.0287
5,-2.7726,-1.788,2.788,1.4259,1.573,0.343,0.3209,-0.149,-0.5899,0.1329,-0.8994,-0.8969,0.3574,3733.3,6322.25,8905.33,0.0573
5,-2.7726,-2.2826,-1.0859,3.4306,1.9016,-1.5697,-0.349,-0.6573,-0.4537,0.5232,0.8345,2.2561,0.4643,4809.73,7229.86,15599.5,0.0756
6,3.6015,3.5665,4.6492,5.2452,5.019,5.0579,5.6857,5.6799,5.8816,4.9176,5.6029,5.1432,0.4051,4644.69,7725.15,17921.0,0.043
5,-2.7726,5.5078,5.6076,7.1537,6.9745,7.6631,7.1012,6.9866,6.9023,5.3471,4.9587,2.0321,0.4784,3749.59,6625.67,10262.4,0.0204
